,Age_AtReg,Disability,Gender,CitizenStatus,EducationLevel,Race_Hispanic,Race_NativeAmerican,Race_Asian,Race_AfricanAmerican,Race_PacificIslander,Race_White,Employed
354,29,0,1,1,16,0,0,0,1,0,0,0
355,35,0,2,1,20,0,0,0,0,0,0,1
356,29,0,1,1,14,0,0,0,1,0,0,0
357,31,0,1,1,14,0,0,0,1,0,0,0
358,33,0,2,1,16,0,0,0,1,0,0,1
359,33,0,2,1,16,0,0,0,1,0,0,1
360,46,0,1,1,14,0,0,0,1,0,0,0
361,29,0,1,1,15,0,0,0,1,0,0,0
362,29,0,1,1,15,0,0,0,1,0,0,0
363,40,0,2,1,13,0,0,0,1,0,0,0
364,0,0,1,4,0,0,0,0,0,0,0,0
365,42,0,2,1,14,0,0,0,1,0,0,0
366,51,0,1,1,14,0,0,0,1,0,0,0
367,53,0,1,1,14,0,0,0,1,0,0,0
368,53,0,1,1,14,0,0,0,1,0,0,0
369,53,0,1,1,14,0,0,0,1,0,0,0
370,48,0,1,1,0,0,0,0,1,0,0,1
371,48,0,1,1,0,0,0,0,1,0,0,1
372,36,0,1,1,14,0,0,0,1,0,0,0
373,36,0,1,1,14,0,0,0,1,0,0,0
374,37,0,1,1,18,0,1,0,1,0,0,0
375,37,0,1,1,18,0,1,0,1,0,0,1
376,37,0,1,1,18,0,1,0,1,0,0,1
377,24,0,2,1,14,0,0,0,1,0,0,0
378,38,0,2,1,20,0,0,0,1,0,0,0
379,34,0,1,1,14,0,0,0,1,0,0,0
380,35,0,1,1,14,0,0,0,1,0,0,0
381,35,0,1,1,14,0,0,0,1,0,0,0
382,35,0,1,1,14,0,0,0,1,0,0,0
383,35,0,1,1,14,0,0,0,1,0,0,0
384,47,0,1,1,16,0,0,0,1,0,0,0
385,59,0,1,1,19,0,0,0,1,0,0,0
386,54,0,2,1,16,0,0,0,1,0,0,0
387,54,0,2,1,16,0,0,0,1,0,0,1
388,54,0,2,1,16,0,0,0,1,0,0,1
389,40,0,1,1,13,0,0,0,1,0,0,1
390,64,1,2,1,14,0,0,0,1,0,0,1
391,64,1,2,1,14,0,0,0,1,0,0,1
392,39,0,2,1,14,0,0,0,1,0,0,0
393,39,0,2,1,14,0,0,0,0,0,0,0
394,38,0,2,1,14,0,0,0,0,0,0,0
395,34,0,1,1,14,0,0,0,1,0,0,0
396,30,0,1,1,14,0,1,0,0,0,0,0
397,44,1,2,1,21,0,0,0,0,0,0,0
398,44,1,2,1,21,0,0,0,0,0,0,0
399,34,0,1,1,18,0,0,0,1,0,0,0
400,33,0,2,1,14,0,0,0,1,0,0,0
401,36,0,2,1,16,0,0,0,1,0,0,0
402,36,0,2,1,16,0,0,0,1,0,0,0
403,52,0,1,1,15,0,0,0,1,0,0,1
404,52,0,1,1,15,0,0,0,1,0,0,1
405,52,0,1,1,15,0,0,0,1,0,0,1
406,28,0,2,1,14,0,0,0,1,0,0,0
407,28,0,2,1,14,0,0,0,1,0,0,0
408,64,0,2,1,16,0,0,0,1,0,0,0
409,54,0,2,1,15,0,0,0,1,0,0,0
410,66,0,1,1,14,0,0,0,1,0,0,0
411,66,0,1,1,14,0,0,0,1,0,0,0
412,45,0,1,1,17,0,0,0,1,0,0,0
413,45,0,1,1,17,0,0,0,1,0,0,0
414,48,0,1,1,19,0,1,0,1,0,0,1
415,48,0,1,1,19,0,1,0,1,0,0,1
416,48,0,1,1,19,0,1,0,1,0,0,1
417,37,0,1,1,14,0,0,0,1,0,0,0
418,33,0,1,1,10,0,0,0,1,0,0,0
419,33,0,1,1,10,0,0,0,1,0,0,0
420,56,0,1,1,12,0,0,0,1,0,0,1
421,53,0,1,1,14,0,0,0,1,0,0,0
422,54,0,1,1,13,0,0,0,1,0,0,0
423,54,0,1,1,13,0,0,0,1,0,0,0
424,56,0,1,1,13,0,0,0,1,0,0,0
425,38,0,2,1,14,0,0,0,1,0,0,0
426,38,0,2,1,14,0,0,0,1,0,0,0
427,38,0,2,1,14,0,0,0,1,0,0,0
428,49,0,2,1,14,0,0,0,1,0,0,1
429,49,0,2,1,14,0,0,0,1,0,0,1
430,39,0,1,1,14,0,0,0,1,0,0,1
431,57,0,1,1,20,0,0,0,1,0,0,0
432,55,0,1,1,20,0,0,0,1,0,0,1
433,57,0,1,1,20,0,0,0,1,0,0,0
434,36,0,2,1,14,0,0,0,1,0,0,0
435,46,0,1,1,9,0,0,0,1,0,0,0
436,46,0,1,1,9,0,0,0,1,0,0,0
437,34,0,2,1,18,0,0,0,1,0,0,0
438,34,0,2,1,18,0,0,0,1,0,0,0
439,34,0,2,1,18,0,0,0,1,0,0,0
440,28,0,2,1,14,0,0,0,1,0,0,0
441,28,0,2,1,14,0,0,0,1,0,0,0
442,41,0,2,1,15,0,0,0,1,0,0,0
443,60,0,1,1,13,0,0,0,1,0,0,1
444,60,0,1,1,13,0,0,0,1,0,0,1
445,63,0,1,1,14,0,0,0,1,0,0,1
446,23,0,1,4,14,0,0,0,1,0,0,0
447,23,0,1,4,14,0,0,0,1,0,0,0
448,40,0,1,1,14,0,0,0,1,0,0,1
449,40,0,1,1,14,0,0,0,1,0,0,1
450,40,0,1,1,14,0,0,0,1,0,0,1
451,35,0,2,1,11,0,0,0,1,0,0,0
452,35,0,1,1,14,0,0,0,1,0,0,0
453,58,0,2,1,21,0,0,0,0,0,0,0
454,60,0,2,1,21,0,0,0,0,0,0,0
455,60,0,2,1,21,0,0,0,0,0,0,0
456,26,0,1,1,20,0,0,0,1,0,0,0
457,44,0,1,1,19,0,1,0,0,0,0,0
458,31,0,2,1,14,0,0,0,1,0,0,0
459,30,0,2,1,17,0,0,0,1,0,0,0
460,30,0,2,1,17,0,0,0,1,0,0,0
461,54,0,1,1,14,0,0,0,1,0,0,0
462,30,0,1,1,14,0,0,0,1,0,0,0
463,30,0,1,1,14,0,0,0,1,0,0,0
464,35,0,1,1,14,0,0,0,1,0,0,0
465,53,0,2,1,14,0,0,0,1,0,0,1
466,53,0,2,1,14,0,0,0,1,0,0,1
467,53,0,2,1,14,0,0,0,1,0,0,1
468,49,0,2,1,20,0,0,0,1,0,0,0
469,35,0,1,1,14,0,0,0,1,0,0,0
470,36,0,1,1,13,0,0,0,1,0,0,1
471,36,0,1,1,13,0,0,0,1,0,0,1
472,36,0,1,1,13,0,0,0,1,0,0,1
473,36,0,1,1,13,0,0,0,1,0,0,1
474,36,0,1,1,13,0,0,0,1,0,0,1
475,36,0,1,1,13,0,0,0,1,0,0,1
476,37,0,1,1,14,0,0,0,1,0,0,0
477,37,0,1,1,14,0,0,0,1,0,0,0
478,37,0,1,1,14,0,0,0,1,0,0,0
479,37,0,1,1,14,0,0,0,1,0,0,0
480,41,0,2,1,20,0,0,0,1,0,0,1
481,37,0,2,1,17,0,0,0,1,0,0,0
482,33,0,1,1,12,0,0,0,1,0,0,1
483,29,0,2,1,14,0,0,0,1,0,0,0
484,51,0,2,1,20,0,0,0,1,0,0,1
485,29,0,1,1,14,0,0,0,1,0,0,0
486,54,0,1,1,14,0,0,0,1,0,0,1
487,54,0,1,1,14,0,0,0,1,0,0,1
488,40,0,2,1,11,0,0,0,1,0,0,0
489,40,0,2,1,11,0,0,0,1,0,0,0
490,34,1,2,1,11,0,0,0,1,0,0,0
491,35,0,1,1,14,0,0,0,1,0,0,0
492,41,0,2,1,14,0,0,0,1,0,0,0
493,50,0,2,1,14,0,0,0,1,0,0,0
494,50,0,2,1,14,0,0,0,1,0,0,0
495,50,0,2,1,14,0,0,0,1,0,0,0
496,64,0,2,1,14,0,0,0,1,0,0,0
497,63,1,1,1,16,0,0,0,1,0,0,0
498,40,0,1,1,18,0,0,0,1,0,0,1
499,40,0,1,1,18,0,0,0,1,0,0,1
500,34,0,1,1,8,0,0,0,1,0,0,0
501,29,0,1,1,8,0,0,0,1,0,0,0
502,34,0,1,1,8,0,0,0,1,0,0,0
503,35,0,2,1,17,0,0,0,1,0,0,0
504,35,0,2,1,17,0,0,0,1,0,0,0
505,35,0,2,1,17,0,0,0,1,0,0,0
506,35,0,2,1,17,0,0,0,1,0,0,0
507,35,0,2,1,17,0,0,0,1,0,0,0
508,35,0,2,1,17,0,0,0,1,0,0,0
509,35,0,2,1,17,0,0,0,1,0,0,1
510,35,0,2,1,17,0,0,0,1,0,0,1
511,23,0,1,1,11,0,0,0,1,0,0,1
512,23,0,1,1,11,0,0,0,1,0,0,1
513,54,0,2,1,14,0,0,0,1,0,0,0
514,60,0,2,1,11,0,0,0,1,0,0,0
515,60,0,2,1,11,0,0,0,1,0,0,0
516,35,0,1,1,14,0,0,0,1,0,0,0
517,62,0,1,2,14,0,0,0,1,0,0,0
518,31,0,1,1,19,0,0,0,1,0,0,1
519,31,0,1,1,19,0,0,0,1,0,0,1
520,50,1,2,1,18,0,0,0,1,0,0,0
